GCA_900660465.1
GCF_900660465.1
GCA_001272835.1
GCF_001272835.1
GCA_002128125.1
GCF_002128125.1
GCA_002128265.1
GCF_002128265.1
GCA_042854285.1
GCF_042854285.1
GCA_042847055.1
GCF_042847055.1
GCA_042849265.1
GCF_042849265.1
GCA_002128005.1
GCF_002128005.1
GCA_009942155.1
GCF_009942155.1
GCA_042847335.1
GCF_042847335.1
GCA_009939745.1
GCF_009939745.1
GCA_002128085.1
GCF_002128085.1
GCA_001901705.1
GCF_001901705.1
GCA_002128285.1
GCF_002128285.1
GCA_002128205.1
GCF_002128205.1
GCA_009945865.1
GCF_009945865.1
GCA_002128105.1
GCF_002128105.1
GCA_001272875.1
GCF_001272875.1
GCA_002128235.1
GCF_002128235.1
GCA_002128165.1
GCF_002128165.1
GCA_009943505.1
GCF_009943505.1
GCA_002355715.1
GCF_002355715.1
GCA_002355695.1
GCF_002355695.1
GCA_002128185.1
GCF_002128185.1
GCA_042848455.1
GCF_042848455.1
GCA_009947575.1
GCF_009947575.1
GCA_002128145.1
GCF_002128145.1
GCA_042854065.1
GCF_042854065.1
GCA_009939845.1
GCF_009939845.1
GCA_009943805.1
GCF_009943805.1
GCA_009939765.1
GCF_009939765.1
GCA_009939975.1
GCF_009939975.1
GCA_002147855.1
GCF_002147855.1
GCA_009939785.1
GCF_009939785.1
GCA_009947205.1
GCF_009947205.1
GCA_009946845.1
GCF_009946845.1
GCA_009944075.1
GCF_009944075.1
GCA_009942395.1
GCF_009942395.1
GCA_009942655.1
GCF_009942655.1
GCA_009944335.1
GCF_009944335.1
GCA_001558175.1
GCF_001558175.1
GCA_009940325.1
GCF_009940325.1
GCA_002128025.1
GCF_002128025.1
GCA_002128045.1
GCF_002128045.1
GCA_009939825.1
GCF_009939825.1
GCA_042855365.1
GCF_042855365.1
GCA_009939805.1
GCF_009939805.1
GCA_009947985.1
GCF_009947985.1
GCA_002128065.1
GCF_002128065.1
GCA_040256845.1
GCF_040256845.1
GCA_002090215.1
GCF_002090215.1
GCA_002095995.1
GCF_002095995.1
GCA_002096015.1
GCF_002096015.1
GCA_009945165.1
GCF_009945165.1
GCA_002096035.1
GCF_002096035.1
GCA_002090315.1
GCF_002090315.1
GCA_009948395.1
GCF_009948395.1
GCA_041931565.1
GCF_041931565.1
GCA_009941325.1
GCF_009941325.1
GCA_041931755.1
GCF_041931755.1
GCA_002090275.1
GCF_002090275.1
GCA_009940965.1
GCF_009940965.1
GCA_009941705.1
GCF_009941705.1
GCA_002090235.1
GCF_002090235.1
GCA_041931765.1
GCF_041931765.1
GCA_009945535.1
GCF_009945535.1
GCA_042854015.1
GCF_042854015.1
GCA_009946285.1
GCF_009946285.1
GCA_009943205.1
GCF_009943205.1
GCA_002127985.1
GCF_002127985.1
GCA_002090295.1
GCF_002090295.1
GCA_001509195.1
GCF_001509195.1
GCA_910574535.1
GCF_910574535.1
GCA_000027345.1
GCF_000027345.1
GCA_000733995.1
GCF_000733995.1
GCA_000387745.2
GCF_000387745.2
GCA_000319655.2
GCF_000319655.2
GCA_001272895.1
GCF_001272895.1
GCA_001272715.1
GCF_001272715.1
GCA_000283755.1
GCF_000283755.1
GCA_001272915.1
GCF_001272915.1
GCA_001272855.1
GCF_001272855.1
GCA_001272775.1
GCF_001272775.1
GCA_001272755.1
GCF_001272755.1
GCA_000319675.2
GCF_000319675.2
GCA_000331085.2
GCF_000331085.3
GCA_001272735.1
GCF_001272735.1
GCA_001272795.1
GCF_001272795.1
GCA_001272815.1
GCF_001272815.1
GCA_002563435.1
GCF_002563435.1
GCA_002563365.1
GCF_002563365.1
GCA_002563345.1
GCF_002563345.1
GCA_002563545.1
GCF_002563545.1
GCA_002563355.1
GCF_002563355.1
GCA_030924825.1
GCF_030924825.1
GCA_002563495.1
GCF_002563495.1
GCA_030923795.1
GCF_030923795.1
GCA_030924505.1
GCF_030924505.1
GCA_030925175.1
GCF_030925175.1
GCA_030923305.1
GCF_030923305.1
GCA_030924615.1
GCF_030924615.1
GCA_030923825.1
GCF_030923825.1
GCA_002563415.1
GCF_002563415.1
GCA_001296785.1
GCF_001296785.1
GCA_030159455.1
GCF_030159455.1
GCA_030159375.1
GCF_030159375.1
GCA_002563515.1
GCF_002563515.1
GCA_001296825.1
GCF_001296825.1
GCA_001296685.1
GCF_001296685.1
GCA_001296765.1
GCF_001296765.1
GCA_001296485.1
GCF_001296485.1
GCA_001296895.1
GCF_001296895.1
GCA_001296725.1
GCF_001296725.1
GCA_001296505.1
GCF_001296505.1
GCA_030925385.1
GCF_030925385.1
GCA_009810595.1
GCF_009810595.1
GCA_030924695.1
GCF_030924695.1
GCA_030925115.1
GCF_030925115.1
GCA_001296625.1
GCF_001296625.1
GCA_009810475.1
GCF_009810475.1
GCA_001296815.1
GCF_001296815.1
GCA_001296665.1
GCF_001296665.1
GCA_030923415.1
GCF_030923415.1
GCA_030924755.1
GCF_030924755.1
GCA_030924175.1
GCF_030924175.1
GCA_030924335.1
GCF_030924335.1
GCA_030924895.1
GCF_030924895.1
GCA_030924795.1
GCF_030924795.1
GCA_030924995.1
GCF_030924995.1
GCA_030925295.1
GCF_030925295.1
GCA_030923495.1
GCF_030923495.1
GCA_030925315.1
GCF_030925315.1
GCA_030924265.1
GCF_030924265.1
GCA_030924025.1
GCF_030924025.1
GCA_030923575.1
GCF_030923575.1
GCA_030923285.1
GCF_030923285.1
GCA_030925075.1
GCF_030925075.1
GCA_030924315.1
GCF_030924315.1
GCA_030925335.1
GCF_030925335.1
GCA_030923695.1
GCF_030923695.1
GCA_030923755.1
GCF_030923755.1
GCA_030923555.1
GCF_030923555.1
GCA_030923875.1
GCF_030923875.1
GCA_030924455.1
GCF_030924455.1
GCA_030923165.1
GCF_030923165.1
GCA_030924595.1
GCF_030924595.1
GCA_030923535.1
GCF_030923535.1
GCA_030924575.1
GCF_030924575.1
GCA_030159415.1
GCF_030159415.1
GCA_030924715.1
GCF_030924715.1
GCA_030924675.1
GCF_030924675.1
GCA_030925035.1
GCF_030925035.1
GCA_030924355.1
GCF_030924355.1
GCA_030925215.1
GCF_030925215.1
GCA_030924255.1
GCF_030924255.1
GCA_030924775.1
GCF_030924775.1
GCA_030924935.1
GCF_030924935.1
GCA_030924155.1
GCF_030924155.1
GCA_030923835.1
GCF_030923835.1
GCA_001455735.1
GCF_001455735.1
GCA_001455745.1
GCF_001455745.1
GCA_030159435.1
GCF_030159435.1
GCA_030923515.1
GCF_030923515.1
GCA_001296605.1
GCF_001296605.1
GCA_030159395.1
GCF_030159395.1
GCA_009810155.1
GCF_009810155.1
GCA_001296905.1
GCF_001296905.1
GCA_009810415.1
GCF_009810415.1
GCA_030924405.1
GCF_030924405.1
GCA_001296705.1
GCF_001296705.1
GCA_001296615.1
GCF_001296615.1
GCA_030923175.1
GCF_030923175.1
GCA_030925155.1
GCF_030925155.1
GCA_001455695.1
GCF_001455695.1
GCA_009810435.1
GCF_009810435.1
GCA_030924875.1
GCF_030924875.1
GCA_009810175.1
GCF_009810175.1
GCA_009810675.1
GCF_009810675.1
GCA_009810715.1
GCF_009810715.1
GCA_009810355.1
GCF_009810355.1
GCA_009810295.1
GCF_009810295.1
GCA_009810235.1
GCF_009810235.1
GCA_009810695.1
GCF_009810695.1
GCA_009809995.1
GCF_009809995.1
GCA_009810035.1
GCF_009810035.1
GCA_030923435.1
GCF_030923435.1
GCA_030923475.1
GCF_030923475.1
GCA_030923585.1
GCF_030923585.1
GCA_030924195.1
GCF_030924195.1
GCA_030924835.1
GCF_030924835.1
GCA_030924545.1
GCF_030924545.1
GCA_030923335.1
GCF_030923335.1
GCA_030924105.1
GCF_030924105.1
GCA_030925235.1
GCF_030925235.1
GCA_030923885.1
GCF_030923885.1
GCA_030924205.1
GCF_030924205.1
GCA_030924235.1
GCF_030924235.1
GCA_030924275.1
GCF_030924275.1
GCA_030924375.1
GCF_030924375.1
GCA_030924495.1
GCF_030924495.1
GCA_030924535.1
GCF_030924535.1
GCA_030924705.1
GCF_030924705.1
GCA_030925015.1
GCF_030925015.1
GCA_030925085.1
GCF_030925085.1
GCA_030925255.1
GCF_030925255.1
GCA_030924435.1
GCF_030924435.1
GCA_030923185.1
GCF_030923185.1
GCA_009810015.1
GCF_009810015.1
GCA_009810055.1
GCF_009810055.1
GCA_001455675.1
GCF_001455675.1
GCA_030159355.1
GCF_030159355.1
GCA_030925355.1
GCF_030925355.1
GCA_030925165.1
GCF_030925165.1
GCA_030925135.1
GCF_030925135.1
